"Case Number","Incident Datetime","Incident ID","Incident Type Primary","Incident Description","Parent Incident Type","Hour of Day","Day of Week","Address","City","State","Location","Latitude","Longitude","Created At","updated_at","zip_code","neighborhood","Council District","Council District 2011","Census Tract","Census Block Group","Census Block","2010 Census Tract ","2010 Census Block Group","2010 Census Block","Police District","TRACTCE20","GEOID20_tract","GEOID20_blockgroup","GEOID20_block"
"25-2100446","2025 Jul 29 08:00:24 AM",,"UUV","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft of Vehicle","11","Tuesday","100 Block CONDON AV","Buffalo","NY","POINT (-78.905 42.958)","42.958","-78.905","2025 Jul 29 11:56:24 AM",,"14207","Riverside","NORTH","NORTH","58.01","3","3005","58.01","3","3005","District D","005801","36029005801","360290058013","360290058013005"
"25-2100221","2025 Jul 29 08:02:15 AM",,"UUV","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft of Vehicle","8","Tuesday","300 Block LANDON ST","Buffalo","NY","POINT (-78.841 42.91)","42.91","-78.841","2025 Jul 29 08:03:15 AM",,"14211","MLK Park","ELLICOTT","ELLICOTT","35.02","2","2001","35","4","4001","District C","003502","36029003502","360290035022","360290035022001"
"25-2100246","2025 Jul 29 08:50:00 AM",,"LARCENY/THEFT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft","8","Tuesday","0 Block WINSLOW AV","Buffalo","NY","POINT (-78.851 42.913)","42.913","-78.851","2025 Jul 29 08:51:00 AM",,"14208","Masten Park","MASTEN","MASTEN","33.02","3","3006","33.02","3","3006","District C","003302","36029003302","360290033023","360290033023006"
"25-2100268","2025 Jul 29 09:26:00 AM",,"ASSAULT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Assault","9","Tuesday","0 Block SARANAC AV","Buffalo","NY","POINT (-78.857 42.948)","42.948","-78.857","2025 Jul 29 09:27:00 AM",,"14216","North Park","DELAWARE","DELAWARE","49.02","2","2002","49","2","2002","District D","004902","36029004902","360290049022","360290049022002"
"25-2110737","2025 Jul 29 10:30:00 AM",,"UUV","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft of Vehicle","16","Wednesday","0 Block MUMFORD ST","Buffalo","NY","POINT (-78.82 42.856)","42.856","-78.82","2025 Jul 30 04:08:00 PM",,"14220","South Park","SOUTH","SOUTH","9","1","1004","9","1","1004","District A","000900","36029000900","360290009001","360290009001004"
"25-2100339","2025 Jul 29 10:30:31 AM",,"ASSAULT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Assault","10","Tuesday","300 Block HERTEL AV","Buffalo","NY","POINT (-78.895 42.946)","42.946","-78.895","2025 Jul 29 10:31:31 AM",,"14207","West Hertel","NORTH","NORTH","56","4","4003","56","4","4003","District D","005600","36029005600","360290056004","360290056004003"
"25-2100414","2025 Jul 29 11:27:27 AM",,"LARCENY/THEFT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft","11","Tuesday","2100 Block ELMWOOD AV","Buffalo","NY","POINT (-78.879 42.954)","42.954","-78.879","2025 Jul 29 11:28:27 AM",,"14207","West Hertel","NORTH","NORTH","56","2","2007","56","2","2008","District D","005600","36029005600","360290056002","360290056002007"
"25-2100807","2025 Jul 29 12:00:00 PM",,"LARCENY/THEFT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft","17","Tuesday","300 Block ROSLYN ST","Buffalo","NY","POINT (-78.809 42.923)","42.923","-78.809","2025 Jul 29 05:16:44 PM",,"14215","Kenfield","UNIVERSITY","UNIVERSITY","41","2","2006","41","2","2006","District E","004100","36029004100","360290041002","360290041002006"
"25-2100467","2025 Jul 29 12:02:28 PM",,"ASSAULT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Assault","12","Tuesday","400 Block GRIDER ST","Buffalo","NY","POINT (-78.829 42.918)","42.918","-78.829","2025 Jul 29 12:26:28 PM",,"14215","Delavan Grider","MASTEN","MASTEN","34","5","5017","34","5","5019","District E","003400","36029003400","360290034005","360290034005017"
"25-2100484","2025 Jul 29 12:38:32 PM",,"LARCENY/THEFT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft","12","Tuesday","900 Block JEFFERSON AV","Buffalo","NY","POINT (-78.854 42.9)","42.9","-78.854","2025 Jul 29 12:39:32 PM",,"14211","Fruit Belt","ELLICOTT","ELLICOTT","31","1","1008","31","1","1006","District C","003100","36029003100","360290031001","360290031001008"
"25-2100496","2025 Jul 29 12:53:16 PM",,"RAPE","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Sexual Offense","12","Tuesday","600 Block E FERRY ST","Buffalo","NY","POINT (-78.838 42.914)","42.914","-78.838","2025 Jul 29 12:54:16 PM",,"14211","MLK Park","MASTEN","MASTEN","34","4","4001","34","4","4001","District C","003400","36029003400","360290034004","360290034004001"
"25-2100642","2025 Jul 29 01:08:00 PM",,"LARCENY/THEFT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft","15","Tuesday","2100 Block DELAWARE AV","Buffalo","NY","POINT (-78.868 42.943)","42.943","-78.868","2025 Jul 29 03:16:14 PM",,"14207","Parkside","NORTH","NORTH","54","2","2000","54","2","2000","District D","005400","36029005400","360290054002","360290054002000"
"25-2200294","2025 Jul 29 03:00:00 PM",,"LARCENY/THEFT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft","9","Friday","900 Block Delaware AV","Buffalo","NY",,,,"2025 Aug 08 09:17:28 AM",,"14201","Elmwood Bryant","NIAGARA","NIAGARA","67.01","3","3002","67.01","3","1002","District B","006701","36029006701","360290067013","360290071043002"
"25-2100663","2025 Jul 29 03:32:53 PM",,"LARCENY/THEFT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft","15","Tuesday","2600 Block DELAWARE AV","Buffalo","NY","POINT (-78.874 42.955)","42.955","-78.874","2025 Jul 29 03:35:53 PM",,"14216","North Park","NORTH","NORTH","50","3","3005","50","3","3010","District D","005000","36029005000","360290050003","360290050003005"
"25-2100877","2025 Jul 29 04:15:47 PM",,"BURGLARY","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Breaking & Entering","18","Tuesday","100 Block MANHATTAN AV","Buffalo","NY","POINT (-78.828 42.936)","42.936","-78.828","2025 Jul 29 06:22:47 PM",,"14215","Fillmore-Leroy","MASTEN","MASTEN","39.01","1","1000","39.01","1","1000","District E","003901","36029003901","360290039011","360290039011000"
"25-2100753","2025 Jul 29 04:38:57 PM",,"UUV","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft of Vehicle","16","Tuesday","W DELAVAN AV & PARKDALE AV","Buffalo","NY","POINT (-78.888 42.922)","42.922","-78.888","2025 Jul 29 04:39:57 PM",,"14213","Upper West Side","NIAGARA","NIAGARA","61","2","2000","61","2","2000","District D","006100","36029006100","360290061002","360290061002000"
"25-2110859","2025 Jul 29 05:00:50 PM",,"LARCENY/THEFT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft","17","Wednesday","500 Block LISBON AV","Buffalo","NY","POINT (-78.809 42.947)","42.947","-78.809","2025 Jul 30 05:31:50 PM",,"14215","Kensington-Bailey","UNIVERSITY","UNIVERSITY","43","5","5004","43","5","5004","District E","004300","36029004300","360290043005","360290043005004"
"25-2100810","2025 Jul 29 05:17:04 PM",,"UUV","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft of Vehicle","17","Tuesday","1800 Block ELMWOOD AV","Buffalo","NY",,,,"2025 Jul 29 05:18:04 PM",,"14207","West Hertel","NORTH","NORTH","55","1","3008","55","1","1002","District D","005500","36029005500","360290055001","360290055003008"
"25-2100853","2025 Jul 29 06:00:00 PM",,"UUV","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft of Vehicle","19","Tuesday","0 Block COLLINGWOOD AV","Buffalo","NY","POINT (-78.815 42.935)","42.935","-78.815","2025 Jul 29 07:30:00 PM",,"14215","Kensington-Bailey","MASTEN","MASTEN","42","2","2004","42","2","2004","District E","004200","36029004200","360290042002","360290042002004"
"25-2110240","2025 Jul 29 06:00:00 PM",,"BURGLARY","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Breaking & Entering","8","Wednesday","1100 Block NIAGARA ST","Buffalo","NY","POINT (-78.901 42.914)","42.914","-78.901","2025 Jul 30 08:19:24 AM",,"14213","Upper West Side","NIAGARA","NIAGARA","61","1","1017","61","1","1031","District B","006100","36029006100","360290061001","360290061001017"
"25-2110215","2025 Jul 29 06:30:00 PM",,"UUV","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft of Vehicle","7","Wednesday","0 Block HORTON PL","Buffalo","NY","POINT (-78.863 42.922)","42.922","-78.863","2025 Jul 30 07:50:14 AM",,"14209","Elmwood Bidwell","ELLICOTT","ELLICOTT","169","4","4003","169","4","4001","District D","016900","36029016900","360290169004","360290169004003"
"25-2100942","2025 Jul 29 06:53:00 PM",,"LARCENY/THEFT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft","19","Tuesday","1100 Block KENMORE AV","Buffalo","NY","POINT (-78.859 42.958)","42.958","-78.859","2025 Jul 29 07:29:22 PM",,"14216","North Park","DELAWARE","DELAWARE","51","3","3000","51","3","3000","District D","005100","36029005100","360290051003","360290051003000"
"25-2100909","2025 Jul 29 06:55:00 PM",,"ASSAULT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Assault","19","Tuesday","FREDRO ST & CASIMIR ST","Buffalo","NY","POINT (-78.81 42.869)","42.869","-78.81","2025 Jul 29 07:31:00 PM",,"14206","Kaisertown","LOVEJOY","LOVEJOY","19","1","1000","19","1","1000","District A","001900","36029001900","360290019001","360290019001000"
"25-2100924","2025 Jul 29 07:08:30 PM",,"LARCENY/THEFT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft","19","Tuesday","2700 Block DELAWARE AV","Buffalo","NY","POINT (-78.869 42.958)","42.958","-78.869","2025 Jul 29 07:09:30 PM",,"14216","North Park","DELAWARE","DELAWARE","51","3","3000","51","3","3000","District D","005100","36029005100","360290051003","360290051003000"
"25-2100950","2025 Jul 29 07:37:34 PM",,"UUV","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft of Vehicle","19","Tuesday","0 Block CLEVELAND AV","Buffalo","NY","POINT (-78.871 42.917)","42.917","-78.871","2025 Jul 29 07:38:34 PM",,"14222","Elmwood Bidwell","ELLICOTT","DELAWARE","169","2","2004","169","2","2004","District D","016900","36029016900","360290169002","360290169002004"
"25-2110019","2025 Jul 29 09:02:13 PM",,"LARCENY/THEFT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft","0","Wednesday","800 Block JEFFERSON AV","Buffalo","NY","POINT (-78.854 42.898)","42.898","-78.854","2025 Jul 30 12:22:13 AM",,"14204","Fruit Belt","ELLICOTT","ELLICOTT","31","2","2014","31","2","2014","District B","003100","36029003100","360290031002","360290031002014"
"25-2101055","2025 Jul 29 09:27:06 PM",,"ASSAULT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Assault","21","Tuesday","0 Block PAWNEE PW","Buffalo","NY","POINT (-78.81 42.862)","42.862","-78.81","2025 Jul 29 09:28:06 PM",,"14210","Seneca-Cazenovia","SOUTH","SOUTH","11","1","1003","11","1","1008","District A","001100","36029001100","360290011001","360290011001003"
"25-2110420","2025 Jul 29 10:37:59 PM",,"LARCENY/THEFT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft","11","Wednesday","200 Block GANSON ST","Buffalo","NY","POINT (-78.871 42.865)","42.865","-78.871","2025 Jul 30 11:19:59 AM",,"14203","Central","SOUTH","SOUTH","5","1","1050","5","1","1035","District A","000500","36029000500","360290005001","360290005001050"
"25-2101199","2025 Jul 29 11:52:14 PM",,"LARCENY/THEFT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft","23","Tuesday","200 Block RICHMOND AV","Buffalo","NY","POINT (-78.881 42.91)","42.91","-78.881","2025 Jul 29 11:53:14 PM",,"14222","Elmwood Bryant","ELLICOTT","NIAGARA","67.01","2","2002","67.01","3","3002","District B","006701","36029006701","360290067012","360290067012002"
"25-2110384","2025 Jul 30 12:00:00 AM",,"UUV","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft of Vehicle","10","Wednesday","700 Block E DELAVAN AV","Buffalo","NY","POINT (-78.828 42.922)","42.922","-78.828","2025 Jul 30 10:37:03 AM",,"14215","Delavan Grider","MASTEN","MASTEN","34","2","2001","34","2","2001","District E","003400","36029003400","360290034002","360290034002001"
"25-2110546","2025 Jul 30 12:00:15 AM",,"LARCENY/THEFT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft","13","Wednesday","0 Block COLLEGE ST","Buffalo","NY","POINT (-78.879 42.898)","42.898","-78.879","2025 Jul 30 01:16:15 PM",,"14201","Allentown","FILLMORE","FILLMORE","68.02","3","3005","68","4","4004","District B","006802","36029006802","360290068023","360290068023005"
"25-2160326","2025 Jul 30 12:00:30 AM",,"LARCENY/THEFT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft","10","Monday","100 Block KOSCIUSZKO ST","Buffalo","NY","POINT (-78.831 42.899)","42.899","-78.831","2025 Aug 04 10:14:30 AM",,"14212","Broadway Fillmore","FILLMORE","FILLMORE","27.04","2","2001","27.02","3","3001","District C","002704","36029002704","360290027042","360290027042001"
"25-2110011","2025 Jul 30 12:10:00 AM",,"ASSAULT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Assault","0","Wednesday","300 Block WALDEN AV","Buffalo","NY","POINT (-78.822 42.904)","42.904","-78.822","2025 Jul 30 12:11:00 AM",,"14211","Genesee-Moselle","FILLMORE","FILLMORE","28.02","1","1008","28","1","1001","District C","002802","36029002802","360290028021","360290028021008"
"25-2110236","2025 Jul 30 01:00:44 AM",,"ASSAULT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Assault","8","Wednesday","CORNWALL AV & SCAJAQUADA ST","Buffalo","NY","POINT (-78.81 42.93)","42.93","-78.81","2025 Jul 30 08:11:44 AM",,"14215","Kenfield","UNIVERSITY","UNIVERSITY","44.02","2","2006","44.02","2","2005","District E","004402","36029004402","360290044022","360290044022006"
"25-2120007","2025 Jul 30 01:01:00 AM",,"UUV","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft of Vehicle","0","Thursday","1800 Block S PARK AV","Buffalo","NY","POINT (-78.824 42.848)","42.848","-78.824","2025 Jul 31 12:00:00 AM",,"14220","Hopkins-Tifft","SOUTH","SOUTH","2","3","3000","2","3","3000","District A","000200","36029000200","360290002003","360290002003000"
"25-2110062","2025 Jul 30 01:18:48 AM",,"ASSAULT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Assault","1","Wednesday","0 Block CORNWALL AV","Buffalo","NY","POINT (-78.822 42.917)","42.917","-78.822","2025 Jul 30 01:19:48 AM",,"14215","Genesee-Moselle","MASTEN","MASTEN","36","4","4006","36","2","2005","District E","003600","36029003600","360290036004","360290036004006"
"25-2110082","2025 Jul 30 01:58:03 AM",,"ASSAULT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Assault","1","Wednesday","100 Block HEMPSTEAD AV","Buffalo","NY",,,,"2025 Jul 30 01:58:03 AM",,"14202","Kenfield","UNIVERSITY","MASTEN","5","1","1000","71.02","1","2003","District A","000500","36029000500","360290005001","360290035021000"
"25-2110946","2025 Jul 30 03:10:00 AM",,"BURGLARY","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Breaking & Entering","18","Wednesday","1400 Block CLINTON ST","Buffalo","NY","POINT (-78.822 42.872)","42.872","-78.822","2025 Jul 30 06:31:13 PM",,"14206","Seneca Babcock","FILLMORE","FILLMORE","163","2","2010","163","2","2006","District A","016300","36029016300","360290163002","360290163002010"
"25-2110143","2025 Jul 30 05:08:00 AM",,"ROBBERY","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Robbery","5","Wednesday","200 Block DONOVAN DR","Buffalo","NY","POINT (-78.827 42.913)","42.913","-78.827","2025 Jul 30 05:09:00 AM",,"14211","MLK Park","MASTEN","MASTEN","35.01","2","2004","35","3","3003","District C","003501","36029003501","360290035012","360290035012004"
"25-2110144","2025 Jul 30 05:12:46 AM",,"ROBBERY","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Robbery","5","Wednesday","400 Block AMHERST ST","Buffalo","NY","POINT (-78.887 42.939)","42.939","-78.887","2025 Jul 30 05:13:46 AM",,"14207","Grant-Amherst","NORTH","NORTH","55","2","2003","55","2","2003","District D","005500","36029005500","360290055002","360290055002003"
"25-2110165","2025 Jul 30 06:09:44 AM",,"UUV","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft of Vehicle","6","Wednesday","1700 Block S PARK AV","Buffalo","NY","POINT (-78.825 42.852)","42.852","-78.825","2025 Jul 30 06:10:44 AM",,"14220","Hopkins-Tifft","SOUTH","LOVEJOY","2","2","2001","2","2","2001","District A","000200","36029000200","360290002002","360290002002001"
"25-2110167","2025 Jul 30 06:10:10 AM",,"BURGLARY","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Breaking & Entering","6","Wednesday","200 Block EFNER ST","Buffalo","NY","POINT (-78.889 42.893)","42.893","-78.889","2025 Jul 30 06:30:00 AM",,"14201","Lower West Side","NIAGARA","ELLICOTT","71.04","4","4002","71.01","2","2006","District B","007104","36029007104","360290071044","360290071044002"
"25-2110205","2025 Jul 30 07:36:44 AM",,"BURGLARY","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Breaking & Entering","7","Wednesday","100 Block VAN RENSSELAER ST","Buffalo","NY","POINT (-78.851 42.873)","42.873","-78.851","2025 Jul 30 07:37:44 AM",,"14210","Ellicott","FILLMORE","FILLMORE","164","2","2033","164","3","3038","District A","016400","36029016400","360290164002","360290164002033"
"25-2110208","2025 Jul 30 07:40:39 AM",,"UUV","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft of Vehicle","7","Wednesday","1700 Block AMHERST ST","Buffalo","NY","POINT (-78.841 42.94)","42.94","-78.841","2025 Jul 30 07:41:39 AM",,"14214","Parkside","DELAWARE","MASTEN","40.02","2","2002","40.01","5","5004","District D","004002","36029004002","360290040022","360290040022002"
"25-2110320","2025 Jul 30 08:00:43 AM",,"ROBBERY","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Robbery","9","Wednesday","HERTEL AV & ELMWOOD AV","Buffalo","NY","POINT (-78.878 42.948)","42.948","-78.878","2025 Jul 30 09:48:43 AM",,"14207","North Park","NORTH","NORTH","56","3","3001","56","3","3001","District D","005600","36029005600","360290056003","360290056003001"
"25-2110242","2025 Jul 30 08:23:11 AM",,"ASSAULT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Assault","8","Wednesday","1700 Block SENECA ST","Buffalo","NY","POINT (-78.818 42.862)","42.862","-78.818","2025 Jul 30 08:23:11 AM",,"14210","Seneca-Cazenovia","SOUTH","SOUTH","11","3","3014","11","3","3021","District A","001100","36029001100","360290011003","360290011003014"
"25-2110252","2025 Jul 30 08:29:00 AM",,"LARCENY/THEFT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft","8","Wednesday","700 Block TONAWANDA ST","Buffalo","NY","POINT (-78.904 42.95)","42.95","-78.904","2025 Jul 30 08:30:00 AM",,"14207","Riverside","NORTH","NORTH","58.02","1","1006","58.02","1","1006","District D","005802","36029005802","360290058021","360290058021006"
"25-2110276","2025 Jul 30 09:00:52 AM",,"LARCENY/THEFT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft","9","Wednesday","200 Block DODGE ST","Buffalo","NY","POINT (-78.859 42.906)","42.906","-78.859","2025 Jul 30 09:01:52 AM",,"14208","Masten Park","ELLICOTT","ELLICOTT","168.01","1","1008","168","1","1008","District B","016801","36029016801","360290168011","360290168011008"
"25-2110370","2025 Jul 30 10:27:56 AM",,"ROBBERY","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Robbery","10","Wednesday","1800 Block ELMWOOD AV","Buffalo","NY","POINT (-78.877 42.947)","42.947","-78.877","2025 Jul 30 10:30:56 AM",,"14216","North Park","NORTH","NORTH","50","1","1005","50","1","1005","District D","005000","36029005000","360290050001","360290050001005"
"25-2110412","2025 Jul 30 11:00:02 AM",,"ASSAULT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Assault","11","Wednesday","200 Block PERRY ST","Buffalo","NY","POINT (-78.866 42.874)","42.874","-78.866","2025 Jul 30 11:10:02 AM",,"14204","Ellicott","ELLICOTT","FILLMORE","164","1","1006","164","1","1008","District A","016400","36029016400","360290164001","360290164001006"
"25-2110438","2025 Jul 30 11:36:26 AM",,"LARCENY/THEFT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft","11","Wednesday","100 Block GRANT ST","Buffalo","NY","POINT (-78.89 42.917)","42.917","-78.89","2025 Jul 30 11:37:26 AM",,"14213","Upper West Side","NIAGARA","NIAGARA","61","2","2004","61","2","2004","District D","006100","36029006100","360290061002","360290061002004"
"25-2120517","2025 Jul 30 12:00:00 PM",,"LARCENY/THEFT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft","12","Thursday","2100 Block NIAGARA ST","Buffalo","NY","POINT (-78.906 42.942)","42.942","-78.906","2025 Jul 31 12:47:33 PM",,"14207","Black Rock","NORTH","NORTH","59","1","1004","59","1","1004","District D","005900","36029005900","360290059001","360290059001004"
"25-2110517","2025 Jul 30 12:47:48 PM",,"LARCENY/THEFT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft","12","Wednesday","800 Block BAILEY AV","Buffalo","NY","POINT (-78.815 42.878)","42.878","-78.815","2025 Jul 30 12:48:48 PM",,"14206","Lovejoy","LOVEJOY","LOVEJOY","167","3","3003","167","3","3008","District A","016700","36029016700","360290167003","360290167003003"
"25-2110675","2025 Jul 30 01:30:22 PM",,"UUV","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft of Vehicle","15","Wednesday","900 Block MAIN ST","Buffalo","NY","POINT (-78.87 42.899)","42.899","-78.87","2025 Jul 30 03:12:22 PM",,"14202","Allentown","FILLMORE","FILLMORE","68.01","1","1006","68","2","2006","District B","006801","36029006801","360290068011","360290068011006"
"25-2110580","2025 Jul 30 01:50:34 PM",,"ASSAULT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Assault","13","Wednesday","100 Block W FERRY ST","Buffalo","NY","POINT (-78.896 42.915)","42.915","-78.896","2025 Jul 30 01:51:34 PM",,"14213","Upper West Side","NIAGARA","NIAGARA","61","1","1022","61","1","1027","District D","006100","36029006100","360290061001","360290061001022"
"25-2110614","2025 Jul 30 02:19:31 PM",,"BURGLARY","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Breaking & Entering","14","Wednesday","800 Block POTOMAC AV","Buffalo","NY","POINT (-78.869 42.925)","42.925","-78.869","2025 Jul 30 02:20:31 PM",,"14209","Elmwood Bidwell","DELAWARE","DELAWARE","63.02","3","3005","63.02","3","3008","District D","006302","36029006302","360290063023","360290063023005"
"25-2110682","2025 Jul 30 02:49:00 PM",,"LARCENY/THEFT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft","15","Wednesday","3400 Block BAILEY","Buffalo","NY","POINT (-78.81 42.948)","42.948","-78.81","2025 Jul 30 03:17:50 PM",,"14215","Kensington-Bailey","UNIVERSITY","UNIVERSITY","43","5","5003","43","5","5003","District E","004300","36029004300","360290043005","360290043005003"
"25-2820890","2025 Jul 30 03:00:00 PM",,"LARCENY/THEFT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft","18","Thursday","100 Block GROVELAND ST","Buffalo","NY","POINT (-78.837 42.954)","42.954","-78.837","2025 Oct 09 06:30:00 PM",,"14214","Central Park","UNIVERSITY","UNIVERSITY","45","3","3000","45","3","3001","District D","004500","36029004500","360290045003","360290045003000"
"25-2130245","2025 Jul 30 03:15:00 PM",,"LARCENY/THEFT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft","9","Friday","1700 Block HERTEL AV","Buffalo","NY","POINT (-78.842 42.948)","42.948","-78.842","2025 Aug 01 09:08:48 AM",,"14216","Central Park","DELAWARE","DELAWARE","45","6","6008","45","6","6010","District D","004500","36029004500","360290045006","360290045006008"
